,word,count
0,about,1226734006
1,other,978481319
2,which,810514085
3,their,782849411
4,there,701170205
5,first,578161543
6,would,572644147
7,these,541003982
8,click,536746424
9,price,501651226
10,state,453104133
11,email,443949646
12,world,431934249
13,music,414028837
14,after,372948094
15,video,365410017
16,where,360468339
17,books,347710184
18,links,339926541
19,years,337841309
20,order,336631187
21,items,330505325
22,group,321842984
23,under,313296421
24,games,305930896
25,could,302311431
26,great,301487430
27,hotel,297974790
28,store,291308910
29,terms,277705910
30,right,273620358
31,local,270742935
32,those,270014141
33,using,269448880
34,phone,256643812
35,forum,254478181
36,based,252405204
37,black,244690155
38,check,244491090
39,index,242826246
40,being,242783091
41,women,242520455
42,today,239271204
43,south,238581133
44,pages,234001114
45,found,232005894
46,house,231310420
47,photo,227125249
48,power,226596368
49,while,226194991
50,three,223417394
51,total,222649459
52,place,220970235
53,think,217856550
54,north,217809513
55,posts,216822128
56,media,216432510
57,water,215178488
58,since,214302926
59,guide,213378807
60,board,212361059
61,white,209863729
62,small,208371878
63,times,202950880
64,sites,202755734
65,level,202563642
66,hours,198242904
67,image,197874283
68,title,196676017
69,shall,191963867
70,class,191087771
71,still,190433487
72,money,190205072
73,every,189325890
74,visit,187062316
75,tools,185555874
76,reply,184777992
77,value,182061247
78,press,179652730
79,learn,179428286
80,print,178250872
81,stock,176295589
82,point,175527859
83,sales,173244220
84,large,165863763
85,table,165341452
86,start,161913408
87,model,161205740
88,human,160573748
89,movie,158421100
90,march,158281269
91,yahoo,155733641
92,going,155284081
93,study,152978354
94,staff,151553180
95,again,150781416
96,april,149976767
97,never,149556758
98,users,149320234
99,topic,149001702
100,below,145701629
101,party,144707500
102,login,144200144
103,legal,142048771
104,above,141894620
105,quote,139242226
106,story,138433809
107,rates,137089538
108,young,136341684
109,field,135289140
110,paper,134939426
111,girls,132325396
112,night,130531484
113,texas,129399241
114,poker,129054826
115,issue,128427156
116,range,128314924
117,court,127719981
118,audio,127014703
119,light,126699632
120,write,126645151
121,offer,126228968
122,given,125542966
123,files,125524478
124,event,125515260
125,china,124472054
126,needs,123595776
127,might,123196001
128,month,123027963
129,major,122592252
130,areas,121986327
131,space,121505269
132,cards,121094522
133,child,119747393
134,enter,119394206
135,share,119294241
136,added,118410414
137,radio,113285624
138,until,113090086
139,color,112965658
140,track,112385243
141,least,111229798
142,trade,110086585
143,david,109067044
144,green,108287905
145,close,107853068
146,drive,107799371
147,short,106755242
148,means,105946662
149,daily,105837757
150,beach,105642682
151,costs,101090970
152,style,101024266
153,front,100886343
154,parts,100637505
155,early,100013194
156,miles,100012522
157,sound,100010833
158,works,98581698
159,rules,97658641
160,final,97649084
161,adult,97583096
162,thing,97451660
163,cheap,97049762
164,third,95489240
165,gifts,95412416
166,cover,94501729
167,often,92551460
168,watch,92006970
169,deals,91189968
170,words,90910143
