,word,count
0,about,1226734006
1,other,978481319
2,which,810514085
3,their,782849411
4,there,701170205
5,first,578161543
6,would,572644147
7,these,541003982
8,click,536746424
9,price,501651226
10,state,453104133
11,email,443949646
12,world,431934249
13,music,414028837
14,after,372948094
15,video,365410017
16,where,360468339
17,order,336631187
18,group,321842984
19,under,313296421
20,could,302311431
21,great,301487430
22,hotel,297974790
23,store,291308910
24,right,273620358
25,local,270742935
26,those,270014141
27,using,269448880
28,phone,256643812
29,forum,254478181
30,black,244690155
31,check,244491090
32,index,242826246
33,being,242783091
34,women,242520455
35,today,239271204
36,south,238581133
37,found,232005894
38,house,231310420
39,photo,227125249
40,power,226596368
41,while,226194991
42,three,223417394
43,total,222649459
44,place,220970235
45,think,217856550
46,north,217809513
47,media,216432510
48,water,215178488
49,since,214302926
50,guide,213378807
51,board,212361059
52,white,209863729
53,small,208371878
54,level,202563642
55,image,197874283
56,title,196676017
57,shall,191963867
58,class,191087771
59,still,190433487
60,money,190205072
61,every,189325890
62,visit,187062316
63,reply,184777992
64,value,182061247
65,press,179652730
66,learn,179428286
67,print,178250872
68,stock,176295589
69,point,175527859
70,large,165863763
71,table,165341452
72,start,161913408
73,model,161205740
74,human,160573748
75,movie,158421100
76,march,158281269
77,going,155284081
78,study,152978354
79,staff,151553180
80,again,150781416
81,never,149556758
82,topic,149001702
83,below,145701629
84,party,144707500
85,login,144200144
86,legal,142048771
87,above,141894620
88,quote,139242226
89,story,138433809
90,young,136341684
91,field,135289140
92,paper,134939426
93,night,130531484
94,poker,129054826
95,issue,128427156
96,range,128314924
97,court,127719981
98,audio,127014703
99,light,126699632
100,write,126645151
101,offer,126228968
102,given,125542966
103,event,125515260
104,china,124472054
105,might,123196001
106,month,123027963
107,major,122592252
108,space,121505269
109,child,119747393
110,enter,119394206
111,share,119294241
112,radio,113285624
113,until,113090086
114,color,112965658
115,track,112385243
116,least,111229798
117,trade,110086585
118,green,108287905
119,close,107853068
120,drive,107799371
121,short,106755242
122,daily,105837757
123,beach,105642682
124,style,101024266
125,front,100886343
126,early,100013194
127,sound,100010833
128,final,97649084
129,adult,97583096
130,thing,97451660
131,cheap,97049762
132,third,95489240
133,cover,94501729
134,often,92551460
135,watch,92006970
136,heart,90249265
137,error,89396475
138,clear,88447610
139,taken,87019836
140,known,86395556
141,quick,85584600
142,whole,85202530
143,later,84857974
144,basic,84840226
145,along,83444756
146,among,83431590
147,death,83216831
148,speed,83135749
149,brand,82807581
150,stuff,81444510
151,doing,80821946
152,entry,80717798
153,force,79199815
154,river,78843808
155,album,77914316
156,build,77203075
157,apply,76341478
158,cross,74230978
159,lower,72606927
160,union,72603888
161,leave,70957750
162,woman,70613606
163,cable,70082598
164,score,69315004
165,shown,68755779
166,flash,68391647
167,allow,67052567
168,super,66703287
169,cause,65904680
170,focus,65626732
